     k     pts       T1s       T1m       T2s  T2s-it       T2m  T2m-it    t(s)
------------------------------------------------------------------------------
     0    6431    0.0462    0.0709    0.0610      73    0.0784      74    17.4
     1    6549    0.0247    0.0253    0.0370      57    0.0546      72    17.4
     2    6821    0.0354    0.0390    0.0372      44    0.0652      76    19.3
     3    6917    0.0459    0.0483    0.0575      39    0.0591      68    16.4
     4    6821    0.0449    0.0454    0.0522      44    0.0529      63    16.7
     5    6920    0.0330    0.0367    0.0429      44    0.0417      64    21.5
     6    7098    0.0180    0.0179    0.0239      37    0.0239      59    16.4
     7    7080    0.0222    0.0155    0.0338      46    0.0310      54    15.2
     8    7055    0.0254    0.0251    0.0335      48    0.0367      51    15.7
     9    6981    0.0175    0.0227    0.0266      42    0.0301      53    14.5
    10    6812    0.0234    0.0201    0.0298      44    0.0276      54    13.8
    11    6745    0.0205    0.0195    0.0291      49    0.0340      95    21.5
    12    6688    0.0247    0.0243    0.0327      47    0.0419      87    23.3
    13    6534    0.0270    0.0267    0.0421      40    0.0344      60    14.0
    14    6379    0.0276    0.0322    0.0340      54    0.0938     150    25.2
    15    6266    0.0166    0.0106    0.0262      41    0.0172      70    11.6
    16    6326    0.0162    0.0200    0.0166      29    0.0225      53     9.7
    17    6438    0.0147    0.0193    0.0192      44    0.0202      62     9.9
    18    6394    0.0098    0.0129    0.0166      38    0.0165      61    11.7
    19    6430    0.0191    0.0160    0.0244      44    0.0184      75    13.5
    20    6552    0.0101    0.0102    0.0284      41    0.0215      46     9.8
    21    6642    0.0095    0.0112    0.0249      54    0.0265     126    17.8
    22    6783    0.0121    0.0132    0.0210      46    0.0145      61    13.6
    23    6885    0.0143    0.0155    0.0205      55    0.0263      84    17.1
    24    7093    0.0192    0.0226    0.0218      56    0.0170      53    13.1
    25    7328    0.0129    0.0131    0.0341      57    0.0184      66    15.0
    26    7336    0.0100    0.0133    0.0143      41    0.0375      99    18.3
    27    7404    0.0154    0.0192    0.0316      39    0.0634     105    15.6
    28    7570    0.0276    0.0189    0.0436      54    0.0380      66    12.0
    29    7712    0.0289    0.0267    0.0657      42    0.0364      60     9.7
    30    7686    0.0120    0.0340    0.0450      55    0.0430      95    14.7
    31    7655    0.0401    0.0297    0.0343      53    0.0566      89    12.8
    32    7714    0.0272    0.0442    0.0379      44    0.1196      90     9.5
    33    7665    0.0166    0.0157    0.0301      64    0.0695     150    14.9
    34    7542    0.0155    0.0289    0.0244      42    0.0583      70     7.2
    35    7663    0.0446    0.0449    0.0569      45    0.0665      63     8.7
    36    7812    0.0728    0.0770    0.0893      41    0.1058      59     6.6
    37    8373    0.0655    0.0695    0.0735      47    0.0880      66    10.6
    38    8611    0.0784    0.0692    0.0965      62    0.1168     150    20.6
    39    8604    0.0715    0.0772    0.0728      45    0.1119     150    17.8
    40    8574    0.0992    0.0981    0.1076      57    0.1346      96    15.6
    41    8727    0.0874    0.0891    0.0906      47    0.1398      85    11.0
    42    8808    0.0373    0.0376    0.0420      34    0.0543      69     8.8
    43    8938    0.0343    0.0325    0.0343      49    0.0640     150    15.7
    44    9075    0.0233    0.0275    0.0315      59    0.0526     150    16.5
    45    9314    0.0259    0.0237    0.0294      46    0.0663     150    17.8
    46    9190    0.0178    0.0204    0.0201      51    0.0895     150    23.0
    47    9080    0.0129    0.0143    0.0225      62    0.0691     150    28.3
    48    9108    0.0115    0.0122    0.0190      52    0.0674     150    25.0
    49    9178    0.0118    0.0128    0.0179      49    0.0543     150    25.1
------------------------------------------------------------------------------
  MEAN            0.0296    0.0314    0.0392      48    0.0545      89
