   Frame   T1 IoBB   T1 NMSE   β=0 NMSE   β=1 IoBB   β=1 NMSE   β=1 Prec  β=0 it  β=1 it
----------------------------------------------------------------------------------------
  000000     0.333    0.0274     0.0333      0.333     0.0282      0.004     150      76
  000001       nan    0.0042     0.0584        nan     0.0042      0.000     150      59
  000002       nan    0.0138     0.1877        nan     0.0516      0.000      81      65
  000003     0.000    0.0100     0.0467      0.000     0.0385      0.000     150      50
  000004       nan    0.0207     0.0409        nan     0.0282      0.000     150      60
  000005       nan    0.0018     0.0051        nan     0.0019      0.000     108      47
  000006     0.000    0.0187     0.0464      0.000     0.0396      0.000     150      55
  000007       nan    0.0105     0.0265        nan     0.0140      0.000     150      39
  000008     0.000    0.0109     0.0628      0.000     0.0340      0.000     150      82
  000009       nan    0.0035     0.0253        nan     0.0032      0.000      98      53
  000010     0.000    0.0254     0.0614      0.000     0.0337      0.000     150      44
  000011     0.000    0.0070     0.0086      0.000     0.0068      0.000     131      41
  000012       nan    0.0547     0.0553        nan     0.0553      0.000      35      28
  000013       nan    0.0173     0.0484        nan     0.0197      0.000     150      76
  000014       nan    0.0153     0.0511        nan     0.0238      0.000     150      68
  000015     0.000    0.0198     0.0582      0.000     0.0283      0.000     150      53
  000016     0.000    0.0368     0.0476      0.000     0.0476      0.000      46      32
  000017       nan    0.0235     0.0311        nan     0.0311      0.000      46      26
  000018       nan    0.0121     0.0805        nan     0.0805      0.000      14      22
  000019     0.179    0.0216     0.0271      0.155     0.0240      0.062     150      46
  000020     0.000    0.0211     0.0290      0.000     0.0219      0.000      60      31
  000021     0.000    0.0118     0.0225      0.000     0.0136      0.000      72      43
  000022       nan    0.0131     0.0334        nan     0.0212      0.000      77      56
  000023       nan    0.0060     0.0666        nan     0.0067      0.000     150      44
  000024       nan    0.0021     0.0166        nan     0.0024      0.000     150      55
  000025     0.000    0.0291     0.0544      0.000     0.0457      0.000     150      83
  000026       nan    0.0634     0.0798        nan     0.0754      0.000     150      67
  000027     0.167    0.0014     0.0172      0.083     0.0088      0.028     150      61
  000028     0.000    0.0216     0.0538      0.000     0.0383      0.000     150      61
  000029       nan    0.0081     0.0600        nan     0.0542      0.000      61      36
  000030       nan    0.1614     0.2417        nan     0.2119      0.000     116      86
  000031     0.000    0.0115     0.0120      0.000     0.0119      0.000      72      36
  000032     0.000    0.0117     0.0674      0.000     0.0172      0.000     150      71
  000033     0.000    0.0004     0.0007      0.000     0.0007      0.000     150      48
  000034     0.000    0.0399     0.0393      0.000     0.0371      0.000     150      60
  000035     0.000    0.0732     0.0775      0.000     0.0753      0.000     150      52
  000036     0.000    0.0318     0.0324      0.000     0.0274      0.000     102      34
  000037     0.015    0.0194     0.0459      0.015     0.0249      0.033     150      58
  000038     0.000    0.0294     0.0310      0.000     0.0310      0.000      27      23
  000039     0.000    0.0274     0.0640      0.000     0.0557      0.000     150      45
  000040       nan    0.0456     0.0805        nan     0.0458      0.000     150      44
  000041       nan    0.0182     0.0307        nan     0.0256      0.000     131      65
  000042       nan    0.0129     0.0440        nan     0.0204      0.000      95      52
  000043     0.000    0.0367     0.0520      0.000     0.0447      0.000     150      62
  000044     0.000    0.0292     0.0606      0.000     0.0309      0.000     150      69
  000045     0.000    0.0054     0.0158      0.000     0.0076      0.000     115      39
  000046     0.105    0.0322     0.0398      0.105     0.0353      0.019     150      69
  000047     0.000    0.0040     0.0828      0.000     0.0108      0.000      91      62
  000048     0.000    0.0683     0.0975      0.000     0.0903      0.000     150      59
  000049     0.000    0.0472     0.0511      0.000     0.0502      0.000      59      45
----------------------------------------------------------------------------------------
    MEAN     0.027    0.0248     0.0520      0.023     0.0347      0.003     120      53
